ticker,name,sector,industry,market_cap,pe_ratio,ps_ratio,ev_to_ebitda,roe,profit_margin,debt_to_equity,dividend_yield,rev_growth_qoq,analyst_rec,target_price,current_ratio,quick_ratio,proxy_peg,free_cash_flow,ebit
NEM,Newmont Corporation,Basic Materials,Gold,1.27E+11,18.2351,5.6005,8.95,0.2234,0.3125,16.738,0.9,0.206,buy,138.1335,2.287,1.748,0.89,7299000000,11571000000
NWSA,News Corporation,Communication Services,Entertainment,14040720384,31.6364,1.6281,12.655,0.0633,0.1335,30.892,0.82,0.055,buy,34.05,1.813,1.577,5.75,571000000,956000000
NWS,News Corporation,Communication Services,Entertainment,15253708800,35.7857,1.7688,13.897,0.0633,0.1335,30.892,0.74,0.055,buy,,1.813,1.577,6.51,571000000,956000000
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,1.90E+11,27.6636,6.9387,20.947,0.0837,0.2493,146.242,2.74,0.207,buy,93.6454,0.595,0.39,1.34,3211000000,9102000000
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,84278222848,33.2924,1.8119,23.327,0.1795,0.0543,80.099,2.83,0.006,buy,76.1515,2.063,1.21,55.49,3268000000,3702000000
NI,NiSource Inc,Utilities,Utilities - Regulated Gas,22349893632,23.9513,3.3648,14.147,0.0907,0.1399,139.284,2.55,0.198,buy,48.0769,0.688,0.397,1.21,-793800000,1878300000
NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,15219438592,29.5271,5.3482,19.406,0.1747,0.1839,66.986,1.17,0.088,buy,313.4,2.721,1.507,3.36,661115000,701804000
NSC,Norfolk Southern Corporation,Industrials,Railroads,68146384896,23.8,5.5949,15.389,0.1925,0.2359,114.742,1.74,-0.017,hold,312.7895,0.847,0.667,,2157000000,4457000000
NTRS,Northern Trust Corporation,Financial Services,Asset Management,25800331264,15.8856,3.1876,,0.1349,0.2146,,2.19,0.082,hold,157.1072,,,1.94,4759300000,
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,1.08E+11,25.9396,2.5661,17.376,0.2617,0.0997,107.257,1.25,0.096,buy,724.3914,1.101,0.954,2.7,3307000000,5733000000
NCLH,Norwegian Cruise Line Holdings ,Consumer Cyclical,Travel Services,9139295232,14.4424,0.93,9.762,0.2328,0.0431,703.028,0,0.064,buy,26.4773,0.209,0.092,2.26,838871000,1520130000
NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers,33706518528,39.1546,1.0975,15.851,0.4155,0.0281,989.054,1.18,0.137,buy,200.2143,1.637,1.093,2.86,765000000,1875000000
NUE,Nucor Corporation,Basic Materials,Steel,38471143424,22.3537,1.1839,10.857,0.0936,0.0537,32.765,1.3,0.086,buy,187.3077,2.938,1.47,2.6,-188000000,2738000000
NVDA,NVIDIA Corporation,Technology,Semiconductors,4.38E+12,36.802,20.296,33.056,1.0148,0.556,7.255,0.02,0.732,strong_buy,265.183,3.905,3.141,0.5,96676000000,1.42E+11
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,19781072896,15.9593,1.8951,10.461,0.3319,0.1284,28.342,0,-0.05,buy,8004.4,6.211,2.814,,1096812000,1790767000
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,51465953280,25.5867,4.1948,15.507,0.207,0.1647,119.711,1.93,0.072,strong_buy,262.129,2.046,1.148,3.55,2283000000,3129000000
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto Parts,80392470528,32.0673,4.521,22.009,,0.1427,,0,0.078,buy,105.72,0.769,0.085,4.11,1593178000,3475235000
OXY,Occidental Petroleum Corporatio,Energy,Oil & Gas E&P,53588795392,40.2481,2.482,7.352,0.0593,0.1077,63.804,1.95,1.489,hold,51.88,0.936,0.56,0.27,4105000000,4131000000
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,40795107328,40.2268,7.4222,25.457,0.2393,0.1862,3.28,0.55,-0.057,hold,198.25,1.436,1.27,,955099000,1361604000
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,26610751488,,1.5407,11.35,0.0048,-0.0032,86.307,3.77,0.279,buy,100.9,0.93,0.72,,2788400000,541500000
